donorID,gender,year,Population / km²,donations,months as donor,frequency,months since gift,avg donation,donates outside campaign,donors/1000 in area,region_Brussels,region_Flanders,region_Wallonia,province_Antwerp,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Namur,province_Walloon Brabant,province_West Flanders,lang_EN,lang_FR,lang_NL
100060,1.0,1949.0,13560.51149582544,1.0,0.0,0.0,53.0,30.0,0.0,1.26617247571251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100061,1.0,1954.0,13560.51149582544,1.0,0.0,0.0,71.0,226.0,0.0,1.26617247571251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100064,0.0,1978.0,13560.51149582544,1.0,0.0,0.0,53.0,10.0,0.0,1.26617247571251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100066,1.0,1959.0,19892.22653085695,1.0,0.0,0.0,53.0,39.0,0.0,0.5570254839158892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100067,0.0,1969.0,13560.51149582544,1.0,0.0,0.0,114.0,20.0,0.0,1.26617247571251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100069,0.0,1962.0,19892.22653085695,1.0,0.0,0.0,53.0,39.0,0.0,0.5570254839158892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100073,0.0,1986.0,1745.7849551595964,1.0,0.0,0.0,53.0,30.0,0.0,8.00067138501133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
100075,0.0,1956.0,6683.436016570749,1.0,0.0,0.0,53.0,30.0,0.0,0.7852047379588017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100076,1.0,1985.0,6683.436016570749,1.0,0.0,0.0,42.0,20.0,0.0,0.7852047379588017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100077,1.0,1974.0,3631.0100609820233,1.0,0.0,0.0,73.0,35.0,0.0,2.204181923299287,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
